,pclass,survived,gender,age,sibsp,parch,fare,embarked
0,1,A,female,29.0,0,0,211.34,S
1,1,A,male,0.9167,1,2,151.55,S
2,1,D,female,2.0,1,2,151.55,S
3,1,D,male,30.0,1,2,151.55,S
4,1,D,female,25.0,1,2,151.55,S
5,1,A,male,48.0,0,0,26.55,S
6,1,A,female,63.0,1,0,77.96,S
7,1,D,male,39.0,0,0,0.0,S
8,1,A,female,53.0,2,0,51.48,S
9,1,D,male,71.0,0,0,49.5,C
10,1,D,male,47.0,1,0,227.53,C
11,1,A,female,18.0,1,0,227.53,C
12,1,A,female,24.0,0,0,69.3,C
13,1,A,female,26.0,0,0,78.85,S
14,1,A,male,80.0,0,0,30.0,S
15,1,D,male,29.8811345124283,0,0,25.93,S
16,1,D,male,24.0,0,1,247.52,C
17,1,A,female,50.0,0,1,247.52,C
18,1,A,female,32.0,0,0,76.29,C
19,1,D,male,36.0,0,0,75.24,C
20,1,A,male,37.0,1,1,52.55,S
21,1,A,female,47.0,1,1,52.55,S
22,1,A,male,26.0,0,0,30.0,C
23,1,A,female,42.0,0,0,227.53,C
24,1,A,female,29.0,0,0,221.78,S
25,1,D,male,25.0,0,0,26.0,C
26,1,A,male,25.0,1,0,91.08,C
27,1,A,female,19.0,1,0,91.08,C
28,1,A,female,35.0,0,0,135.63,S
29,1,A,male,28.0,0,0,26.55,S
30,1,D,male,45.0,0,0,35.5,S
31,1,A,male,40.0,0,0,31.0,C
32,1,A,female,30.0,0,0,164.87,S
33,1,A,female,58.0,0,0,26.55,S
34,1,D,male,42.0,0,0,26.55,S
35,1,A,female,45.0,0,0,262.38,C
36,1,A,female,22.0,0,1,55.0,S
37,1,A,male,29.8811345124283,0,0,26.55,S
38,1,D,male,41.0,0,0,30.5,S
39,1,D,male,48.0,0,0,50.5,C
40,1,D,male,29.8811345124283,0,0,39.6,C
41,1,A,female,44.0,0,0,27.72,C
42,1,A,female,59.0,2,0,51.48,S
43,1,A,female,60.0,0,0,76.29,C
44,1,A,female,41.0,0,0,134.5,C
45,1,D,male,45.0,0,0,26.55,S
46,1,D,male,29.8811345124283,0,0,31.0,S
47,1,A,male,42.0,0,0,26.29,S
48,1,A,female,53.0,0,0,27.45,C
49,1,A,male,36.0,0,1,512.33,C
50,1,A,female,58.0,0,1,512.33,C
51,1,D,male,33.0,0,0,5.0,S
52,1,D,male,28.0,0,0,47.1,S
53,1,D,male,17.0,0,0,47.1,S
54,1,A,male,11.0,1,2,120.0,S
55,1,A,female,14.0,1,2,120.0,S
56,1,A,male,36.0,1,2,120.0,S
57,1,A,female,36.0,1,2,120.0,S
58,1,D,male,49.0,0,0,26.0,S
59,1,A,female,29.8811345124283,0,0,27.72,C
60,1,D,male,36.0,1,0,78.85,S
61,1,A,female,76.0,1,0,78.85,S
62,1,D,male,46.0,1,0,61.18,S
63,1,A,female,47.0,1,0,61.18,S
64,1,A,male,27.0,1,0,53.1,S
65,1,A,female,33.0,1,0,53.1,S
66,1,A,female,36.0,0,0,262.38,C
67,1,A,female,30.0,0,0,86.5,S
68,1,A,male,45.0,0,0,29.7,C
69,1,A,female,29.8811345124283,0,1,55.0,S
70,1,D,male,29.8811345124283,0,0,0.0,S
71,1,D,male,27.0,1,0,136.78,C
72,1,A,female,26.0,1,0,136.78,C
73,1,A,female,22.0,0,0,151.55,S
74,1,D,male,29.8811345124283,0,0,52.0,S
75,1,D,male,47.0,0,0,25.59,S
76,1,A,female,39.0,1,1,83.16,C
77,1,D,male,37.0,1,1,83.16,C
78,1,A,female,64.0,0,2,83.16,C
79,1,A,female,55.0,2,0,25.7,S
80,1,D,male,29.8811345124283,0,0,26.55,S
81,1,D,male,70.0,1,1,71.0,S
82,1,A,female,36.0,0,2,71.0,S
83,1,A,female,64.0,1,1,26.55,S
84,1,D,male,39.0,1,0,71.28,C
85,1,A,female,38.0,1,0,71.28,C
86,1,A,male,51.0,0,0,26.55,S
87,1,A,male,27.0,0,0,30.5,S
88,1,A,female,33.0,0,0,151.55,S
89,1,D,male,31.0,1,0,52.0,S
90,1,A,female,27.0,1,2,52.0,S
91,1,A,male,31.0,1,0,57.0,S
92,1,A,female,17.0,1,0,57.0,S
93,1,A,male,53.0,1,1,81.86,S
94,1,A,male,4.0,0,2,81.86,S
95,1,A,female,54.0,1,1,81.86,S
96,1,D,male,50.0,1,0,106.43,C
97,1,A,female,27.0,1,1,247.52,C
98,1,A,female,48.0,1,0,106.43,C
99,1,A,female,48.0,1,0,39.6,C
100,1,A,male,49.0,1,0,56.93,C
101,1,D,male,39.0,0,0,29.7,C
102,1,A,female,23.0,0,1,83.16,C
103,1,A,female,38.0,0,0,227.53,C
104,1,A,female,54.0,1,0,78.27,C
105,1,D,female,36.0,0,0,31.68,C
106,1,D,male,29.8811345124283,0,0,221.78,S
107,1,A,female,29.8811345124283,0,0,31.68,S
108,1,A,female,29.8811345124283,0,0,110.88,C
109,1,A,male,36.0,0,0,26.39,S
110,1,D,male,30.0,0,0,27.75,C
111,1,A,female,24.0,3,2,263.0,S
112,1,A,female,28.0,3,2,263.0,S
113,1,A,female,23.0,3,2,263.0,S
114,1,D,male,19.0,3,2,263.0,S
115,1,D,male,64.0,1,4,263.0,S
116,1,A,female,60.0,1,4,263.0,S
117,1,A,female,30.0,0,0,56.93,C
118,1,D,male,29.8811345124283,0,0,26.55,S
119,1,A,male,50.0,2,0,133.65,S
120,1,A,male,43.0,1,0,27.72,C
121,1,A,female,29.8811345124283,1,0,133.65,S
122,1,A,female,22.0,0,2,49.5,C
123,1,A,male,60.0,1,1,79.2,C
124,1,A,female,48.0,1,1,79.2,C
125,1,D,male,29.8811345124283,0,0,0.0,S
126,1,D,male,37.0,1,0,53.1,S
127,1,A,female,35.0,1,0,53.1,S
128,1,D,male,47.0,0,0,38.5,S
129,1,A,female,35.0,0,0,211.5,C
130,1,A,female,22.0,0,1,59.4,C
131,1,A,female,45.0,0,1,59.4,C
132,1,D,male,24.0,0,0,79.2,C
133,1,A,male,49.0,1,0,89.1,C
134,1,A,female,29.8811345124283,1,0,89.1,C
135,1,D,male,71.0,0,0,34.65,C
136,1,A,male,53.0,0,0,28.5,C
137,1,A,female,19.0,0,0,30.0,S
138,1,D,male,38.0,0,1,153.46,S
139,1,A,female,58.0,0,1,153.46,S
140,1,A,male,23.0,0,1,63.36,C
141,1,A,female,45.0,0,1,63.36,C
142,1,D,male,46.0,0,0,79.2,C
143,1,A,male,25.0,1,0,55.44,C
144,1,A,female,25.0,1,0,55.44,C
145,1,A,male,48.0,1,0,76.73,C
146,1,A,female,49.0,1,0,76.73,C
147,1,D,male,29.8811345124283,0,0,42.4,S
148,1,D,male,45.0,1,0,83.48,S
149,1,A,female,35.0,1,0,83.48,S
150,1,D,male,40.0,0,0,0.0,S
151,1,A,male,27.0,0,0,76.73,C
152,1,A,male,29.8811345124283,0,0,30.0,S
153,1,A,female,24.0,0,0,83.16,C
154,1,D,male,55.0,1,1,93.5,S
155,1,A,female,52.0,1,1,93.5,S
156,1,D,male,42.0,0,0,42.5,S
157,1,D,male,29.8811345124283,0,0,51.86,S
158,1,D,male,55.0,0,0,50.0,S
159,1,A,female,16.0,0,1,57.98,C
160,1,A,female,44.0,0,1,57.98,C
161,1,A,female,51.0,1,0,77.96,S
162,1,D,male,42.0,1,0,52.0,S
163,1,A,female,35.0,1,0,52.0,S
164,1,A,male,35.0,0,0,26.55,C
165,1,A,male,38.0,1,0,90.0,S
166,1,D,male,29.8811345124283,0,0,30.7,C
167,1,A,female,35.0,1,0,90.0,S
168,1,A,female,38.0,0,0,80.0,
169,1,D,female,50.0,0,0,28.71,C
170,1,A,male,49.0,0,0,0.0,S
171,1,D,male,46.0,0,0,26.0,S
172,1,D,male,50.0,0,0,26.0,S
173,1,D,male,32.5,0,0,211.5,C
174,1,D,male,58.0,0,0,29.7,C
175,1,D,male,41.0,1,0,51.86,S
176,1,A,female,29.8811345124283,1,0,51.86,S
177,1,A,male,42.0,1,0,52.55,S
178,1,A,female,45.0,1,0,52.55,S
179,1,D,male,29.8811345124283,0,0,26.55,S
180,1,A,female,39.0,0,0,211.34,S
181,1,A,female,49.0,0,0,25.93,S
182,1,A,female,30.0,0,0,106.43,C
183,1,A,male,35.0,0,0,512.33,C
184,1,D,male,29.8811345124283,0,0,27.72,C
185,1,D,male,42.0,0,0,26.55,S
186,1,A,female,55.0,0,0,27.72,C
187,1,A,female,16.0,0,1,39.4,S
188,1,A,female,51.0,0,1,39.4,S
189,1,D,male,29.0,0,0,30.0,S
190,1,A,female,21.0,0,0,77.96,S
191,1,D,male,30.0,0,0,45.5,S
192,1,A,female,58.0,0,0,146.52,C
193,1,A,female,15.0,0,1,211.34,S
194,1,D,male,30.0,0,0,26.0,S
195,1,A,female,16.0,0,0,86.5,S
196,1,A,male,29.8811345124283,0,0,29.7,C
197,1,D,male,19.0,1,0,53.1,S
198,1,A,female,18.0,1,0,53.1,S
199,1,A,female,24.0,0,0,49.5,C
200,1,D,male,46.0,0,0,75.24,C
201,1,D,male,54.0,0,0,51.86,S
202,1,A,male,36.0,0,0,26.29,S
203,1,D,male,28.0,1,0,82.17,C
204,1,A,female,29.8811345124283,1,0,82.17,C
205,1,D,male,65.0,0,0,26.55,S
206,1,D,male,44.0,2,0,90.0,Q
207,1,A,female,33.0,1,0,90.0,Q
208,1,A,female,37.0,1,0,90.0,Q
209,1,A,male,30.0,1,0,57.75,C
210,1,D,male,55.0,0,0,30.5,S
211,1,D,male,47.0,0,0,42.4,S
212,1,D,male,37.0,0,1,29.7,C
213,1,A,female,31.0,1,0,113.28,C
214,1,A,female,23.0,1,0,113.28,C
215,1,D,male,58.0,0,2,113.28,C
216,1,A,female,19.0,0,2,26.28,S
217,1,D,male,64.0,0,0,26.0,S
218,1,A,female,39.0,0,0,108.9,C
219,1,A,male,29.8811345124283,0,0,25.74,C
220,1,A,female,22.0,0,1,61.98,C
221,1,D,male,65.0,0,1,61.98,C
222,1,D,male,28.5,0,0,27.72,C
223,1,D,male,29.8811345124283,0,0,0.0,S
224,1,D,male,45.5,0,0,28.5,S
225,1,D,male,23.0,0,0,93.5,S
226,1,D,male,29.0,1,0,66.6,S
227,1,A,female,22.0,1,0,66.6,S
228,1,D,male,18.0,1,0,108.9,C
229,1,A,female,17.0,1,0,108.9,C
230,1,A,female,30.0,0,0,93.5,S
231,1,A,male,52.0,0,0,30.5,S
232,1,D,male,47.0,0,0,52.0,S
233,1,A,female,56.0,0,1,83.16,C
234,1,D,male,38.0,0,0,0.0,S
235,1,A,male,29.8811345124283,0,0,39.6,S
236,1,D,male,22.0,0,0,135.63,C
237,1,D,male,29.8811345124283,0,0,227.53,C
238,1,A,female,43.0,0,1,211.34,S
239,1,D,male,31.0,0,0,50.5,S
240,1,A,male,45.0,0,0,26.55,S
241,1,D,male,29.8811345124283,0,0,50.0,S
242,1,A,female,33.0,0,0,27.72,C
243,1,D,male,46.0,0,0,79.2,C
244,1,D,male,36.0,0,0,40.13,C
245,1,A,female,33.0,0,0,86.5,S
246,1,D,male,55.0,1,0,59.4,C
247,1,A,female,54.0,1,0,59.4,C
248,1,D,male,33.0,0,0,26.55,S
249,1,A,male,13.0,2,2,262.38,C
250,1,A,female,18.0,2,2,262.38,C
251,1,A,female,21.0,2,2,262.38,C
252,1,D,male,61.0,1,3,262.38,C
253,1,A,female,48.0,1,3,262.38,C
254,1,A,male,29.8811345124283,0,0,30.5,S
255,1,A,female,24.0,0,0,69.3,C
256,1,A,male,29.8811345124283,0,0,26.0,S
257,1,A,female,35.0,1,0,57.75,C
258,1,A,female,30.0,0,0,31.0,C
259,1,A,male,34.0,0,0,26.55,S
260,1,A,female,40.0,0,0,153.46,S
261,1,A,male,35.0,0,0,26.29,S
262,1,D,male,50.0,1,0,55.9,S
263,1,A,female,39.0,1,0,55.9,S
264,1,A,male,56.0,0,0,35.5,C
265,1,A,male,28.0,0,0,35.5,S
266,1,D,male,56.0,0,0,26.55,S
267,1,D,male,56.0,0,0,30.7,C
268,1,D,male,24.0,1,0,60.0,S
269,1,D,male,29.8811345124283,0,0,26.0,S
270,1,A,female,18.0,1,0,60.0,S
271,1,A,male,24.0,1,0,82.27,S
272,1,A,female,23.0,1,0,82.27,S
273,1,A,male,6.0,0,2,134.5,C
274,1,A,male,45.0,1,1,134.5,C
275,1,A,female,40.0,1,1,134.5,C
276,1,D,male,57.0,1,0,146.52,C
277,1,A,female,29.8811345124283,1,0,146.52,C
278,1,A,male,32.0,0,0,30.5,C
279,1,D,male,62.0,0,0,26.55,S
280,1,A,male,54.0,1,0,55.44,C
281,1,A,female,43.0,1,0,55.44,C
282,1,A,female,52.0,1,0,78.27,C
283,1,D,male,29.8811345124283,0,0,27.72,C
284,1,A,female,62.0,0,0,80.0,
285,1,D,male,67.0,1,0,221.78,S
286,1,D,female,63.0,1,0,221.78,S
287,1,D,male,61.0,0,0,32.32,S
288,1,A,female,48.0,0,0,25.93,S
289,1,A,female,18.0,0,2,79.65,S
290,1,D,male,52.0,1,1,79.65,S
291,1,A,female,39.0,1,1,79.65,S
292,1,A,male,48.0,1,0,52.0,S
293,1,A,female,29.8811345124283,1,0,52.0,S
294,1,D,male,49.0,1,1,110.88,C
295,1,A,male,17.0,0,2,110.88,C
296,1,A,female,39.0,1,1,110.88,C
297,1,A,female,29.8811345124283,0,0,79.2,C
298,1,A,male,31.0,0,0,28.54,C
299,1,D,male,40.0,0,0,27.72,C
300,1,D,male,61.0,0,0,33.5,S
301,1,D,male,47.0,0,0,34.02,S
302,1,A,female,35.0,0,0,512.33,C
303,1,D,male,64.0,1,0,75.25,C
304,1,A,female,60.0,1,0,75.25,C
305,1,D,male,60.0,0,0,26.55,S
306,1,D,male,54.0,0,1,77.29,S
307,1,D,male,21.0,0,1,77.29,S
308,1,A,female,55.0,0,0,135.63,C
309,1,A,female,31.0,0,2,164.87,S
310,1,D,male,57.0,1,1,164.87,S
311,1,A,female,45.0,1,1,164.87,S
312,1,D,male,50.0,1,1,211.5,C
313,1,D,male,27.0,0,2,211.5,C
314,1,A,female,50.0,1,1,211.5,C
315,1,A,female,21.0,0,0,26.55,S
316,1,D,male,51.0,0,1,61.38,C
317,1,A,male,21.0,0,1,61.38,C
318,1,D,male,29.8811345124283,0,0,35.0,S
319,1,A,female,31.0,0,0,134.5,C
320,1,A,male,29.8811345124283,0,0,35.5,S
321,1,D,male,62.0,0,0,26.55,S
322,1,A,female,36.0,0,0,135.63,C
323,2,D,male,30.0,1,0,24.0,C
324,2,A,female,28.0,1,0,24.0,C
325,2,D,male,30.0,0,0,13.0,S
326,2,D,male,18.0,0,0,11.5,S
327,2,D,male,25.0,0,0,10.5,S
328,2,D,male,34.0,1,0,26.0,S
329,2,A,female,36.0,1,0,26.0,S
330,2,D,male,57.0,0,0,13.0,S
331,2,D,male,18.0,0,0,11.5,S
332,2,D,male,23.0,0,0,10.5,S
333,2,A,female,36.0,0,0,13.0,S
334,2,D,male,28.0,0,0,10.5,S
335,2,D,male,51.0,0,0,12.53,S
336,2,A,male,32.0,1,0,26.0,S
337,2,A,female,19.0,1,0,26.0,S
338,2,D,male,28.0,0,0,26.0,S
339,2,A,male,1.0,2,1,39.0,S
340,2,A,female,4.0,2,1,39.0,S
341,2,A,female,12.0,2,1,39.0,S
342,2,A,female,36.0,0,3,39.0,S
343,2,A,male,34.0,0,0,13.0,S
344,2,A,female,19.0,0,0,13.0,S
345,2,D,male,23.0,0,0,13.0,S
346,2,D,male,26.0,0,0,13.0,S
347,2,D,male,42.0,0,0,13.0,S
348,2,D,male,27.0,0,0,13.0,S
349,2,A,female,24.0,0,0,13.0,S
350,2,A,female,15.0,0,2,39.0,S
351,2,D,male,60.0,1,1,39.0,S
352,2,A,female,40.0,1,1,39.0,S
353,2,A,female,20.0,1,0,26.0,S
354,2,D,male,25.0,1,0,26.0,S
355,2,A,female,36.0,0,0,13.0,S
356,2,D,male,25.0,0,0,13.0,S
357,2,D,male,42.0,0,0,13.0,S
358,2,A,female,42.0,0,0,13.0,S
359,2,A,male,0.8333,0,2,29.0,S
360,2,A,male,26.0,1,1,29.0,S
361,2,A,female,22.0,1,1,29.0,S
362,2,A,female,35.0,0,0,21.0,S
363,2,D,male,29.8811345124283,0,0,0.0,S
364,2,D,male,19.0,0,0,13.0,S
365,2,D,female,44.0,1,0,26.0,S
366,2,D,male,54.0,1,0,26.0,S
367,2,D,male,52.0,0,0,13.5,S
368,2,D,male,37.0,1,0,26.0,S
369,2,D,female,29.0,1,0,26.0,S
370,2,A,female,25.0,1,1,30.0,S
371,2,A,female,45.0,0,2,30.0,S
372,2,D,male,29.0,1,0,26.0,S
373,2,A,female,28.0,1,0,26.0,S
374,2,D,male,29.0,0,0,10.5,S
375,2,D,male,28.0,0,0,13.0,S
376,2,A,male,24.0,0,0,10.5,S
377,2,A,female,8.0,0,2,26.25,S
378,2,D,male,31.0,1,1,26.25,S
379,2,A,female,31.0,1,1,26.25,S
380,2,A,female,22.0,0,0,10.5,S
381,2,D,female,30.0,0,0,13.0,S
382,2,D,female,29.8811345124283,0,0,21.0,S
383,2,D,male,21.0,0,0,11.5,S
384,2,D,male,29.8811345124283,0,0,0.0,S
385,2,A,male,8.0,1,1,36.75,S
386,2,D,male,18.0,0,0,73.5,S
387,2,A,female,48.0,0,2,36.75,S
388,2,A,female,28.0,0,0,13.0,S
389,2,D,male,32.0,0,0,13.0,S
390,2,D,male,17.0,0,0,73.5,S
391,2,D,male,29.0,1,0,27.72,C
392,2,A,female,24.0,1,0,27.72,C
393,2,D,male,25.0,0,0,31.5,S
394,2,D,male,18.0,0,0,73.5,S
395,2,A,female,18.0,0,1,23.0,S
396,2,A,female,34.0,0,1,23.0,S
397,2,D,male,54.0,0,0,26.0,S
398,2,A,male,8.0,0,2,32.5,S
399,2,D,male,42.0,1,1,32.5,S
400,2,A,female,34.0,1,1,32.5,S
401,2,A,female,27.0,1,0,13.86,C
402,2,A,female,30.0,1,0,13.86,C
403,2,D,male,23.0,0,0,13.0,S
404,2,D,male,21.0,0,0,13.0,S
405,2,D,male,18.0,0,0,13.0,S
406,2,D,male,40.0,1,0,26.0,S
407,2,A,female,29.0,1,0,26.0,S
408,2,D,male,18.0,0,0,10.5,S
409,2,D,male,36.0,0,0,13.0,S
410,2,D,male,29.8811345124283,0,0,0.0,S
411,2,D,female,38.0,0,0,13.0,S
412,2,D,male,35.0,0,0,26.0,S
413,2,D,male,38.0,1,0,21.0,S
414,2,D,male,34.0,1,0,21.0,S
415,2,A,female,34.0,0,0,13.0,S
416,2,D,male,16.0,0,0,26.0,S
417,2,D,male,26.0,0,0,10.5,S
418,2,D,male,47.0,0,0,10.5,S
419,2,D,male,21.0,1,0,11.5,S
420,2,D,male,21.0,1,0,11.5,S
421,2,D,male,24.0,0,0,13.5,S
422,2,D,male,24.0,0,0,13.0,S
423,2,D,male,34.0,0,0,13.0,S
424,2,D,male,30.0,0,0,13.0,S
425,2,D,male,52.0,0,0,13.0,S
426,2,D,male,30.0,0,0,13.0,S
427,2,A,male,0.6667,1,1,14.5,S
428,2,A,female,24.0,0,2,14.5,S
429,2,D,male,44.0,0,0,13.0,S
430,2,A,female,6.0,0,1,33.0,S
431,2,D,male,28.0,0,1,33.0,S
432,2,A,male,62.0,0,0,10.5,S
433,2,D,male,30.0,0,0,10.5,S
434,2,A,female,7.0,0,2,26.25,S
435,2,D,male,43.0,1,1,26.25,S
436,2,A,female,45.0,1,1,26.25,S
437,2,A,female,24.0,1,2,65.0,S
438,2,A,female,24.0,1,2,65.0,S
439,2,D,male,49.0,1,2,65.0,S
440,2,A,female,48.0,1,2,65.0,S
441,2,A,female,55.0,0,0,16.0,S
442,2,D,male,24.0,2,0,73.5,S
443,2,D,male,32.0,2,0,73.5,S
444,2,D,male,21.0,2,0,73.5,S
445,2,D,female,18.0,1,1,13.0,S
446,2,A,female,20.0,2,1,23.0,S
447,2,D,male,23.0,2,1,11.5,S
448,2,D,male,36.0,0,0,13.0,S
449,2,A,female,54.0,1,3,23.0,S
450,2,D,male,50.0,0,0,13.0,S
